id;cvoie;cdgi;typo;typo_min;date_arret;siecle;statut;typvoie;prevoie;nomvoie;arrdt;quartier;feuille;debut;fin;longueur;largeur;n_pair;n_impair;alignement;servitude;historique;denomination;classement;observation;numerotage;orig;declassement;nivellement;assainissement;ouverture;geo_point_2d;validite
"12387";;;RUE MOUFLE;rue Moufle;1930/01/01;"20";Voie publique de la Ville de Paris;rue;;Moufle;"[ ""11e"" ]";"[ ""Saint-Ambroise"" ]";"[ ""93A1"" ]";"rue du Chemin Vert, 35.";"boulevard Richard Lenoir, 62.";185;12;"16";"11";Non retenus au POS et non repris au PLU : Arrêté du 25 avril 1932.;;"Avant 1930, passage Moufle et précédemment passage du Chemin Vert, ouvert en 1834.";;Arrêté du 25 avril 1932.;;;"M. Moufle, propriétaire, maire de l'ex VIIIe arrondissement.";;Arrêté du 25 avril 1932.;;;"lat: 48.859643812244755, lon: 2.373286717707391";Dénomination actuelle
"10506";;;RUE EMILE LEPEU;rue Émile Lepeu;;;Voie publique de la Ville de Paris;rue;;Émile Lepeu;"[ ""11e"" ]";"[ ""Roquette"" ]";"[ ""94A3"" ]";"rue Léon Frot, 40.";"impasse Carrière-Mainguet, 14.";219;12;"44";"37";Non retenus au POS et non repris au PLU : Arrêté du 1er septembre 1932.;;;;Arrêté du 1er septembre 1932.;;;"M. Emile Lepeu, fils de l'ancien propriétaire.";;Arrêté du 1er septembre 1932.;;;"lat: 48.8560045089932, lon: 2.38787467284043";Dénomination actuelle
"11293";;;CITE HERON;cité Héron;;;Voie privée non inscrite à la liste des voies privées ouvertes à la circulation publique;cité;;Héron;"[ ""10e"" ]";"[ ""Hôpital Saint-Louis"" ]";"[ ""72B1"" ]";"rue de l'Hôpital Saint-Louis, 5.";en impasse;80;5;"6";"5";;;;;;;;;;;;;"lat: 48.87460018415958, lon: 2.365101132885911";Dénomination actuelle
"14051";;;RUE VIDE-GOUSSET;rue Vide-Gousset;;;Voie publique de la Ville de Paris;rue;;Vide-Gousset;"[ ""02e"" ]";"[ ""Mail"", ""Vivienne"" ]";"[ ""71C1"" ]";"place des Victoires, 12, et rue d'Aboukir, 1.";"rue des Petits Pères, 10, et rue du Mail, 2.";28;12;"2";"1";Non retenus au POS et non repris au PLU : Ordonnance du 30 juin 1845.;;"Elle est indiquée sur le plan de Gomboust (1652). Jusqu'à la construction de la place des Victoires, elle faisait partie de la rue du Petit Reposoir. Sur le plan de Delagrive (1728), elle est appelée rue Vide-Gousset. Un contrat de 1706 la désigne du nom de rue Vieille Doucet. En mars 1770, un plaisant substitua au nom de Vide-Gousset celui de Terray, ministre des Finances.";;;;;Dû probablement aux vols qui se commettaient dans cette voie au XVIIe siècle.;;;;;"lat: 48.86610764326336, lon: 2.341436600721981";Dénomination actuelle
"12798";;;RUE DES PETITS PERES;rue des Petits Pères;;;Voie publique de la Ville de Paris;rue;des;Petits Pères;"[ ""02e"" ]";"[ ""Vivienne"" ]";"[ ""70D2"", ""71C1"" ]";"rue de la Banque, 2 et rue La Feuillade, 6.";"place des Petits Pères et rue Vide-Gousset, 1.";80;15;"10";"3";"Non retenus au POS et non repris au PLU : Décret du 21 janvier 1900 (UP), côté impair. Arrêté du 19 janvier 1952, côté pair.";;Précédemment rue Neuve des Petits Pères. Elle est indiquée sur le plan de Mérian (1615).;;;;;"Voisinage de l'ancien couvent des Augustins réformés, dits Petits Pères (église Notre-Dame des Victoires).";;Arrêté du 19 janvier 1952.;;;"lat: 48.86622750481283, lon: 2.340613935355719";Dénomination actuelle
"13146";;;PASSAGE RAUCH;passage Rauch;;;Voie publique de la Ville de Paris;passage;;Rauch;"[ ""11e"" ]";"[ ""Roquette"" ]";"[ ""93D1"" ]";"passage Charles Dallery, 8.";"rue Basfroi, 9.";92;10;"12";"3";Retenus au POS et non repris au PLU : Arrêté municipal du 29 novembre 1991.;;;;Arrêté municipal du 29 novembre 1991.;;;"M. Rauch, propriétaire.";;Arrêté municipal du 29 novembre 1991.;;;"lat: 48.854043827980846, lon: 2.3791430486428755";Dénomination actuelle
"9593";;;COUR DU CANTAL;cour du Cantal;;;Voie privée non inscrite à la liste des voies privées ouvertes à la circulation publique;cour;du;Cantal;"[ ""11e"" ]";"[ ""Roquette"" ]";"[ ""93C1"" ]";"rue de la Roquette, 22.";"rue de Lappe, 18.";135;3.5;;;;;;;;;;Autrefois les habitants de cette cour étaient en grande partie originaires du département du Cantal.;;;;;"lat: 48.853836662596336, lon: 2.3717692612548036";Dénomination actuelle
"10203";;;PASSAGE DELANOS;passage Delanos;;;Voie privée non inscrite à la liste des voies privées ouvertes à la circulation publique;passage;;Delanos;"[ ""10e"" ]";"[ ""Saint-Vincent-de-Paul"" ]";"[ ""52C3"" ]";"rue d'Alsace, 25.";"rue du Faubourg Saint-Denis, 148.";118;2.5;"14";"13";;;;;;;;"M. Delanos, propriétaire.";;;;;"lat: 48.87802358757858, lon: 2.3575430152230825";Dénomination actuelle
"13618";;;COUR SAINT-JOSEPH;cour Saint-Joseph;;;Voie privée non inscrite à la liste des voies privées ouvertes à la circulation publique;cour;;Saint-Joseph;"[ ""11e"" ]";"[ ""Roquette"" ]";"[ ""93C1"" ]";"rue de Charonne, 5.";;87;3.2;;"1 à 13, numérotage continu";;;Elle s'appelait cul-de-sac Saint-Joseph.;;;Voie desservant une seule propriété.;;"Joseph, prénom d'un des propriétaires. D'après Lazare, elle devrait son nom à une enseigne.";;;;Créée à la fin du XVIIIe siècle.;"lat: 48.852572407870454, lon: 2.3734898052364586";Dénomination actuelle
"13547";;;PASSAGE SAINT-AMBROISE;passage Saint-Ambroise;;;Voie publique de la Ville de Paris;passage;;Saint-Ambroise;"[ ""11e"" ]";"[ ""Saint-Ambroise"" ]";"[ ""73C4"" ]";"rue Saint-Ambroise, 27.";en impasse au-delà de la rue Léchevin.;159;15;"12";"13";Non retenus au POS et non repris au PLU : Arrêté du 25 janvier 1972.;;Précédemment impasse Saint-Ambroise.;;Arrêté du 25 janvier 1972.;;;Voisinage de l'église Saint-Ambroise.;;Arrêté du 25 janvier 1972.;;;"lat: 48.863172172052046, lon: 2.3775173946183497";Dénomination actuelle
