id;id_fantoir;numero;rep;nom_voie;code_postal;code_insee;nom_commune;code_insee_ancienne_commune;nom_ancienne_commune;x;y;lon;lat;type_position;alias;nom_ld;libelle_acheminement;nom_afnor;source_position;source_nom_voie;certification_commune;cad_parcelles;geo
75113_8424_00009;751138424;9;;Rue Rubens;75013;75113;Paris 13e Arrondissement;;;652698.36;6859567.24;2.3556;48.834422;parcelle;;;PARIS;RUE RUBENS;commune;commune;1;;48.834422, 2.3556
75113_8424_00013;751138424;13;;Rue Rubens;75013;75113;Paris 13e Arrondissement;;;652715.27;6859543.97;2.355833;48.834214;parcelle;;;PARIS;RUE RUBENS;commune;commune;1;;48.834214, 2.355833
75113_8424_00018;751138424;18;;Rue Rubens;75013;75113;Paris 13e Arrondissement;;;652725.18;6859498.19;2.355973;48.833803;parcelle;;;PARIS;RUE RUBENS;commune;commune;1;;48.833803, 2.355973
75113_8424_00020;751138424;20;;Rue Rubens;75013;75113;Paris 13e Arrondissement;;;652736.3;6859484.87;2.356126;48.833684;parcelle;;;PARIS;RUE RUBENS;commune;commune;1;;48.833684, 2.356126
75113_8690_00001;751138690;1;;Boulevard Saint-Marcel;75013;75113;Paris 13e Arrondissement;;;653100.84;6860128.41;2.361021;48.839498;parcelle;;;PARIS;BOULEVARD SAINT MARCEL;commune;commune;1;;48.839498, 2.361021
75113_8690_00051;751138690;51;;Boulevard Saint-Marcel;75013;75113;Paris 13e Arrondissement;;;652714.89;6859946.18;2.355783;48.837831;parcelle;;;PARIS;BOULEVARD SAINT MARCEL;commune;commune;1;;48.837831, 2.355783
75113_2416_00001;751132416;1;;Rue Coypel;75013;75113;Paris 13e Arrondissement;;;652728.17;6859423.78;2.356022;48.833134;parcelle;;;PARIS;RUE COYPEL;commune;commune;1;;48.833134, 2.356022
75113_2416_00005;751132416;5;;Rue Coypel;75013;75113;Paris 13e Arrondissement;;;652705.86;6859424.29;2.355718;48.833137;parcelle;;;PARIS;RUE COYPEL;commune;commune;1;;48.833137, 2.355718
75113_2416_00014;751132416;14;;Rue Coypel;75013;75113;Paris 13e Arrondissement;;;652661.65;6859441.22;2.355114;48.833286;parcelle;;;PARIS;RUE COYPEL;commune;commune;1;;48.833286, 2.355114
75113_7495_00008;751137495;8;;Rue Pirandello;75013;75113;Paris 13e Arrondissement;;;652792.14;6859851.03;2.356846;48.836981;parcelle;;;PARIS;RUE PIRANDELLO;commune;commune;1;;48.836981, 2.356846
75113_7495_00013;751137495;13;;Rue Pirandello;75013;75113;Paris 13e Arrondissement;;;652743.67;6859803.28;2.356191;48.836548;parcelle;;;PARIS;RUE PIRANDELLO;commune;commune;1;;48.836548, 2.356191
75113_5125_00010;751135125;10;;Rue du Jura;75013;75113;Paris 13e Arrondissement;;;652727.73;6859882.69;2.355965;48.837261;parcelle;;;PARIS;RUE DU JURA;commune;commune;1;;48.837261, 2.355965
75113_5125_00013;751135125;13;;Rue du Jura;75013;75113;Paris 13e Arrondissement;;;652742.08;6859878.9;2.356161;48.837228;parcelle;;;PARIS;RUE DU JURA;commune;commune;1;;48.837228, 2.356161
75113_2469_00035;751132469;35;;Rue de Croulebarbe;75013;75113;Paris 13e Arrondissement;;;652367;6859370.69;2.351108;48.83263;parcelle;;;PARIS;RUE DE CROULEBARBE;commune;commune;1;;48.83263, 2.351108
